FoodCategory
"Spices, Condiment and Seasonings"
Milk and Milk Products
Fish Products
Pasta Products
Bakery Products
Iodized salt
Beverages
Carbonated Beverages
Oil & Fats
Vinegar
Bee Honey
Treacle
Sugar 
Jaggery
Jam
Sause
Ready to drink beverages
Cordial/concentrated food drink
Sugar Confectionery
"Cereals, Pulsus, Flours and Cereal foods"
Flours
Vegetable Textured protein
Nuts
Mixture and Snacks
Water
