FooDTypeID,ParameterID,Uncertanty,Regulatory Limit,Accredited,Test Method
63,14,,,FALSE,PFL/7.2/TM/03
63,38,,,FALSE,SLS 729 :  2010 - Appendix D
64,43,,,FALSE,PFL/7.2/TM/26
64,23,0.35,,TRUE,SLS 313: Part 2/Section 6: 2022
64,30,,,FALSE,SLS 313: Part 2/Section 2: 2014
64,45,2.5,,TRUE,SLS 313: Part 2/Section 1: 2014
65,43,,,FALSE,SLS 313: Part 1/Section 5: 2019
65,30,,,FALSE,SLS 313: Part 2/Section 2: 2014
65,45,,,FALSE,SLS 313: Part 2/Section 1: 2014
66,43,,,FALSE,PFL/7.2/TM/26
66,30,,,FALSE,SLS 313: Part 2/Section 2: 2014
66,45,,,FALSE,SLS 313: Part 2/Section 1: 2014
67,19,,,FALSE,SLS 28: Part 3: 2008
67,33,,,FALSE,SLS 313: Part 3: Section 5: 2009 
67,23,,,FALSE,SLS 313: Part 2/Section 6: 2022
76,3,,,FALSE,SLS 168: 1999 - Appendix B
76,55,,,FALSE,SLS 168: 1999 - Appendix D
76,2,,,FALSE,SLS 168: 1999 - Appendix D
76,6,,,FALSE,SLS 168: 1999 - Appendix D
77,33,,<22%,FALSE,SLS 464: 2016 - Appendix B
77,54,,>65,FALSE,SLS 464: 2016 - Appendix C
77,57,,<5,FALSE,SLS 464: 2016 - Appendix D
77,47,,<0.1,FALSE,SLS 464: 2016 - Appendix E
78,58,,<30,FALSE,SLS 1701: Part 2 ;2021 - Appendix B
78,54,,>20,FALSE,
78,57,,>65,FALSE,SLS 1701: Part 2 ;2021 - Appendix C
78,52,,<0.5,FALSE,SLS 1701: Part 2 ;2021 - Appendix G
78,59,,<0.5,FALSE,SLS 1701: Part 2 ;2021 - Appendix B
78,1,,<0.1,FALSE,SLS 1701: Part 2 ;2021 - Appendix F
78,47,,<1.5,FALSE,SLS 1701: Part 2 ;2021 - Appendix E
80,1,,<0.1,FALSE,SLS 1701: Part 1 ;2021 - Appendix F
80,33,,<30,FALSE,SLS 1701: Part 1 ;2021 - Appendix B
80,3,,<0.5,FALSE,SLS 1701: Part 1 ;2021 - Appendix D
80,57,,>65,,SLS 1701: Part 1 ;2021 - Appendix C
80,52,,<0.5,FALSE,SLS 1701: Part 1 ;2021 - Appendix G
79,58,,<30,FALSE,SLS 1701: Part 3 ;2021 - Appendix B
79,54,,<10,FALSE,
79,57,,>65,FALSE,SLS 1701: Part 3 ;2021 - Appendix C
79,52,,<0.5,FALSE,SLS 1701: Part 3 ;2021 - Appendix G
79,59,,<0.5,FALSE,SLS 1701: Part 3 ;2021 - Appendix D
79,1,,<0.1,FALSE,SLS 1701: Part 3 ;2021 - Appendix F
79,47,,<1.5,FALSE,SLS 1701: Part 3 ;2021 - Appendix E
81,14,,,FALSE,
81,33,,<0.25,FALSE,SLS 191 ;1989 - Appendex C
81,29,,<0.30,FALSE,SLS 191 ;1989 - Appendex B
81,18,,,FALSE,
82,14,,,FALSE,PFL/7.2/TM/03
82,29,,<0.04,FALSE,SLS 191 ;1989 - Appendex B
82,33,,<0.1,FALSE,SLS 191 ;1989 - Appendex C
82,52,,<0.1,FALSE,SLS 191 ;1989 - Appendex F
82,66,,<0.04,FALSE,SLS 191 ;1989 - Appendex D
83,58,,<10,FALSE,SLS 521: 1981 - Appendix B
83,47,,<3.5,FALSE,SLS 521: 1981 - Appendix C
83,1,,<0.5,FALSE,SLS 521: 1981 - Appendix D
83,52,,<2.0,FALSE,SLS 521: 1981 - Appendix E
85,58,,<10,FALSE,SLS 521: 1981 - Appendix B
85,47,,<3.5,FALSE,SLS 521: 1981 - Appendix C
85,1,,<0.5,FALSE,SLS 521: 1981 - Appendix D
